REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,300,,GRM Shift (Ina-GRM) (mono),GRM_FreqShift.vst
,301,,GRM Shift Stereo (Ina-GRM),GRM_FreqShift_Stereo.vst
,302,,GRM Warp (Ina-GRM) (mono),GRM_FreqWarp.vst
,303,,GRM Warp Stereo (Ina-GRM),GRM_FreqWarp_Stereo.vst
,304,,GRM Fusion (Ina-GRM) (2->8ch),GRM_Fusion.vst
,305,,GRM Grinder (Ina-GRM),GRM_Grinder.vst
,306,,GRM PitchAccum (Ina-GRM) (mono),GRM_PitchAccum.vst
,307,,GRM PitchAccum Stereo (Ina-GRM),GRM_PitchAccum_Stereo.vst
,308,,GRM Reson (Ina-GRM) (1->8ch),GRM_Reson.vst
,309,,GRM Reson Stereo (Ina-GRM) (2->8ch),GRM_Reson_Stereo.vst
,310,,GRM Shuffling (Ina-GRM) (1->8ch),GRM_Shuffling.vst
,311,,GRM Shuffling Stereo (Ina-GRM) (2->8ch),GRM_Shuffling_Stereo.vst
,312,,GRM SpaceFilter (Ina-GRM) (2->6ch),GRM_SpaceFilter.vst
,313,,GRM SpaceGrain (Ina-GRM) (2->6ch),GRM_SpaceGrain.vst
,314,,GRM SpacesMaster (Ina-GRM) (64ch),GRM_SpaceMaster.vst
,315,,GRM Spaces (Ina-GRM) (2->6ch),GRM_Spaces.vst
,316,,GRM Spaces3D (Ina-GRM) (64ch),GRM_Spaces3D.vst
,317,,GRM SpaceVR (Ina-GRM),GRM_SpaceVR.vst
,318,,Guitar Rig 5 (Native Instruments GmbH),Guitar_Rig_5.vst
,319,,Hadron (partikkelaudio),Hadron.vst
,320,,Harmony Engine (Antares Audio Technologies),Harmony_Engine.vst3
,321,,Harmony Engine (Antares),Harmony_Engine_4x.vst3
,322,,Harpex-B (Harpex) (6->8ch),Harpex_B.vst
,323,,Harpex-X (Harpex Ltd) (16ch),Harpex_X.vst
,324,,IRCAM Tools - HEar v3 (Flux:: - IRCAM) (8ch),HEarV3_x64.vst
,325,,IRCAM Tools - HEar v3 (x86) (Flux:: - IRCAM) (8ch),HEarV3_x86.vst
,326,Instr.,Helm (Matt Tytel)!!!VSTi,helm.vst
,327,Instr.,Helm (Matt Tytel)!!!VSTi,helm.vst3
